#不要报考太原师范学院#顶上去，坚持到高考结束 ?
今天#太原师范学院# 做人了吗？没有。#不要报考太原师范学院# ?
#太原师范回应 未发生暴力行为##瑶瑶最爱社会瑶##太原师范学院# 微博真是平静 长沙 ?
"#太原师范学院#,#太原师范校园暴力#??#太原师范学院申明是假的# ??????知乎上看到的，校园暴力也不是第一次了，学校领导能不能不要总想着息事宁人，有点儿作为好吗？ ?"
#赵湘##太原师范学院校园暴力# 面对////王芝芝会有狗的 遭遇，学校应对思维令人迷醉……所以微博的同学们，如果你能看到这条消息，记得以后遇到这种事，别发微博，直接打////新京报 爆料电话（010-67106710），会有人管。文弱。校园暴力零容忍# ?
"希望太原师范学院，真正在尽全力帮助被暴力欺凌的孩子度过人生的难关。,【淳沸点】#太原师范校园暴力#   发布了头条文章：《太师学院欺凌事件回复及时，但仍难掩很多槽点》  太师学院欺凌事件回复及时，但仍难掩很多槽点 ?"
"今天也要转发#太原師範學院校園暴力# //@尤西Zoe:既然潘金莲那么好听，那么我就把这个名字送给连夜准备了这份声明的所有校方人员和那两位清清白白的“无辜少女”吧。另外您们的正常打闹视频也一定要发到工作群和贵校的好老师们一起共享哦。反正无伤大雅嘛对不对。,分享图片 晋中·太原师范学院 ?"
#太原师范回应 未发生暴力行为#日常想骂太原师范学院，辣鸡，对，你是我骂的第一个学校 ?
#不要报考太原师范学院#这种事情太多了，如果不是被爆出来，有多少人会知道？还有多少没有被爆出来？所谓的严惩校园暴力就是个笑话。国家不会管你，你只是一个普普通通的人，多你个不多少你个不少。我家的肉猪打架我是不会管的。 ?
太原师范学院感情语录是时候隐藏一下我幼稚园班长的身份了拥有世上无敌可爱  外加霸气漂亮的闺蜜 ?
我分享了 @妥协是病 的头条文章#山西太原师范学院校园暴力#  太原师范校园暴力| 芝芝：我还能重见天日吗？ ?
"#太原师范学院# 热度快没了 好担心芝芝,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原师范回应 未发生暴力行为#这是我听过名气最大的师范学院 ?
"//@王先森的小星星:#太原師範學院校園暴力# #不要报考太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#不要报考太原师范学院# mou L你怎么忍心撤热搜？一定要包庇犯错的一方吗？这样毁了一个人良心会不会痛呢？？ ?
"//@橘里橘气的栗子:#正义网友与太原师范王芝芝通话录音# #太原师范学院# #太原师范回应 未发生暴力行为#,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺 ?  展开全文,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺利毕业。不知道学校做出了哪些让步和承诺……3、芝芝坚持依法维权，进行诉讼。律师没明说，现在只有芝芝坚持需要律师，而家长想接受学校的条件，不需要律师了。这件事是离不开律师的法律维权的，家长特别容易被忽悠。4、现在一些护校蛆开始变本加厉，各种造谣生事了。表现出人性之恶，有些女大学生出口成脏，令人震惊之余，怀疑这所学校到底怎么了？5、这几天在网上支持芝芝，就是为了反对校园欺凌，就是为了社会的公平正义，我就是不能容忍施暴者趾高气扬，受辱者忍气吞声，这不是我们这个时代的正义，这是蒙羞。#太原师范回应 未发生暴力行为##太原师范回应女生遭校园暴力##起侮辱性绰号也属于欺凌##太原师范回应女生遭校园暴力# 收起全文"
"//@韩东言:我一猜就知道你是太原师范学院的，你是不是刚把自己的学校信息删掉呀。我真替你们觉得悲哀。 查看图片 //@Hello海楼:就是奇怪你这个人打着正义的幌子怎么跳腾了这么多天？再跳你就真黑了。,太原师范学院的这个女大学生，为什么心理这么阴郁？给脸不要脸，没错，她就长这个模样！别以为换个马甲我就不认识你了？我说了，对于你们这些护校蛆，只要你不来骚扰我，我就不愿意搭理你，我只当你是臭狗屎，但是对于给脸不要脸的，我也就不用给你留什么情面了，记着，是你自己不要脸！太原师范 ?  展开全文,太原师范学院的这个女大学生，为什么心理这么阴郁？给脸不要脸，没错，她就长这个模样！别以为换个马甲我就不认识你了？我说了，对于你们这些护校蛆，只要你不来骚扰我，我就不愿意搭理你，我只当你是臭狗屎，但是对于给脸不要脸的，我也就不用给你留什么情面了，记着，是你自己不要脸！太原师范学院正义的大学生，你们能认出来这是谁吧！看看这个人的心理！#起侮辱性绰号也属于欺凌##太原师范回应 未发生暴力行为##欺凌未成年人获刑1年半# 收起全文"
#太原师范学院#六月高考不努力，九月瑶姐住隔壁 ?
#太原师范学院# 还没到高考呢，这事儿就没动静了 ?
#太原师范学院#不知道事实 但是骂就完事儿了 ?
"太原师范学院,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原师范学院#处理方式太差劲 ?
"太原师范学院呵呵哒,#太原师范回应女生遭校园暴力# 【校方回应后，自述女生改口称暴力为""舍友之间的打打闹闹""】5月29日，太原师范大二学生@王芝芝会有狗的 发微博自述遭受来自室友的“校园暴力”。@太原师范学院- 当晚回应称，已第一时间召集相关当事人，正在进行认真核查，将根据核查结果做出相应处理，并及时 ?  展开全文,#太原师范回应女生遭校园暴力# 【校方回应后，自述女生改口称暴力为""舍友之间的打打闹闹""】5月29日，太原师范大二学生@王芝芝会有狗的 发微博自述遭受来自室友的“校园暴力”。@太原师范学院- 当晚回应称，已第一时间召集相关当事人，正在进行认真核查，将根据核查结果做出相应处理，并及时进行公布。随后@王芝芝会有狗的 发帖表示，“5月29日，11点47分，我在自己的微博发表了‘太原师范学院校园暴力’，是我们舍友之间的打打闹闹，玩笑可能开过了头。你怎么看？via网络综合整理 收起全文"
太原师范学院 垃圾的地方总会生产垃圾。 ?
太原师范学院 挂一个太原师范的蛆头 ?
"//@用户5119688081:一段真实的录音，揭露太原师范学院不为人知的阴暗面,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事 ?  展开全文,#太原师范回应 未发生暴力行为##太原师范学院#  #正义网友与太原师范王芝芝通话录音# 来围观正义网友和太原师范王芝芝(潘同学)在5月30日14点57分（视频名字写的时间是上传时写错了，这是正确时间）通话录音，原录音将近35分钟，经过剪辑留下关键部分还有10分钟33秒。看看太原师范是怎么处理校园霸凌事件的，先要求被霸凌学生删除微博未果，接着限制被霸凌学生的人身自由，没收学生手机，登陆学生微博账号删除爆料微博，再发两条“改口微博”，公然欺骗全社会！等明天王芝芝父母到校，肯定是软硬兼施，最后大事化小，小事化了……  @韩东言 @苏渝 @学生来吐槽 @哔哩剧小综 @纸上速评 @Mr孙宁 @扒圈新闻 @遇见吴杰臻 @野比大雄 全然不同的微博视频 收起全文"
#太原师范学院#想知道后续怎样了 ?
#郎朗老婆童年照#@太原师范学院- 好学校 ?
#太原师范学院# 今天我市领导们做人了吗？没 ?
"//@并非严丑 :恭喜太原师范学院19届招生工作提前结束,【#太原师范学院#深夜回应“女生被扒衣霸凌”：玩笑过度】5月29日，太原师范大二学生@王芝芝会有狗的 自述遭室友扒衣服，拍视频和裸照并向外传播。太原师范学院30日深夜发声明：3位舍友存在玩笑过度和言行不妥情况。但未发生暴力行为。不存在扒衣服恶意行为，不存在拍摄和向外传播裸照行为。 ?  展开全文,【#太原师范学院#深夜回应“女生被扒衣霸凌”：玩笑过度】5月29日，太原师范大二学生@王芝芝会有狗的 自述遭室友扒衣服，拍视频和裸照并向外传播。太原师范学院30日深夜发声明：3位舍友存在玩笑过度和言行不妥情况。但未发生暴力行为。不存在扒衣服恶意行为，不存在拍摄和向外传播裸照行为。太原师范学院回应“女生被扒衣霸凌”：玩笑过度 收起全文"
#正义网友与太原师范王芝芝通话录音##太原师范学院##李梓瑶# 再也不会关注这件事了，谴责李梓瑶还要被说教，圣母婊????，你们可以带着你们的博爱之心还芝芝一个公道，抚平芝芝被李梓瑶伤害的心。圣母婊别评论我，评论我必死??。反正我不会关注了 ?
"恶人一定要有恶报一定要受到法律的惩罚//@有马甲的热心少女:恶人需要严惩，我们需要正义，希望大家能够关注我们芝芝和小龙受到的校园欺凌，谢谢大家??????#山西太原师范学院# #太原师范回应 未发生暴力行为#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#高考# 学弟学妹，想要保命的千万别报考山西的学校，原因你们可以搜搜太原师范学院，以及山西公安等的做法！切记切记！ ?
辣鸡学校快倒闭吧！劝各位高考学生只要不想遭遇校园暴力，你就不要报这个学校，让他倒闭，老师们也是垃圾，辣鸡学校，辣鸡老师，可怜的学生#太原师范回应 未发生暴力行为##太原师范学院##太师校园暴力# ?
#山西太原师范学院#这个热度还能不能再上一次热搜啊 ?
大家如何看待太原师范学院校园暴力事件？看看，这样的太原师范学院是所有高校的反面教材。你们别再掩饰了，我真的希望你们学校有更多的人可以站出来伸张正义。我们的青年人啊，丧失自己的自信力了吗？@太原师范学院 淄博·山东理工大学西校区 ?
"浇油//@今天阿箬文荒有救了么://@琳娜廚 ://@放开那个RDJ ://@吸本罐头 :不处理真是当大家傻子//@盖锤 ://@Theo的傻大个 ://@刺客棉条 :“如何防止此类事件被爆出”//:免费水军算盘打得不错//:#李梓瑶# #太原师范学院# 只能尽我自己的力量帮你们多宣传宣传，看你今年能招几个,#李梓瑶#这事真气人 ?"
"//@汭是汭不是纳啊:#太原師範學院校園暴力#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
山西省的公安厅，教育部真的需要严查了！当官不为民做主，每天只喊口号，为人民服务？#太原师范学院# @山西公安 @平安太原 ?
"//@天晴晴暖了心:#太原师范学院# #太原师范回应 未发生暴力行为# #给人起绰号属欺凌# 继续等 不愿放弃 只希望作为父母的能强硬点 谁都不愿意自己的子女成为下一个芝芝,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺 ?  展开全文,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺利毕业。不知道学校做出了哪些让步和承诺……3、芝芝坚持依法维权，进行诉讼。律师没明说，现在只有芝芝坚持需要律师，而家长想接受学校的条件，不需要律师了。这件事是离不开律师的法律维权的，家长特别容易被忽悠。4、现在一些护校蛆开始变本加厉，各种造谣生事了。表现出人性之恶，有些女大学生出口成脏，令人震惊之余，怀疑这所学校到底怎么了？5、这几天在网上支持芝芝，就是为了反对校园欺凌，就是为了社会的公平正义，我就是不能容忍施暴者趾高气扬，受辱者忍气吞声，这不是我们这个时代的正义，这是蒙羞。#太原师范回应 未发生暴力行为##太原师范回应女生遭校园暴力##起侮辱性绰号也属于欺凌##太原师范回应女生遭校园暴力# 收起全文"
"#太原師範學院校園暴力#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"你小时候没少经历过吧？@英子今天瘦了么 //@韩东言:我一猜就知道你是太原师范学院的，你是不是刚把自己的学校信息删掉呀。我真替你们觉得悲哀。 查看图片 //@Hello海楼:就是奇怪你这个人打着正义的幌子怎么跳腾了这么多天？再跳你就真黑了。,太原师范学院的这个女大学生，为什么心理这么阴郁？给脸不要脸，没错，她就长这个模样！别以为换个马甲我就不认识你了？我说了，对于你们这些护校蛆，只要你不来骚扰我，我就不愿意搭理你，我只当你是臭狗屎，但是对于给脸不要脸的，我也就不用给你留什么情面了，记着，是你自己不要脸！太原师范 ?  展开全文,太原师范学院的这个女大学生，为什么心理这么阴郁？给脸不要脸，没错，她就长这个模样！别以为换个马甲我就不认识你了？我说了，对于你们这些护校蛆，只要你不来骚扰我，我就不愿意搭理你，我只当你是臭狗屎，但是对于给脸不要脸的，我也就不用给你留什么情面了，记着，是你自己不要脸！太原师范学院正义的大学生，你们能认出来这是谁吧！看看这个人的心理！#起侮辱性绰号也属于欺凌##太原师范回应 未发生暴力行为##欺凌未成年人获刑1年半# 收起全文"
"邀请您回答问题""太原师范回应未发生暴力行为,你信吗？如何看待其前后不一的说辞？""，#太原师范回应 未发生暴力行为##...@太原师范学院-  太原师范回应未发生暴力行为,你信吗？如何看待其前后不一的说辞？ ?"
"//@左柚子想好好学习:热度不能掉必须得让芝芝的父母了解现在的情况，绝不妥协#太原师范回应 未发生暴力行为# #太原师范学院# #太原师范校园暴力# #不要去报考太原师范学院# #瑶湘呼应# #李梓瑶# //@春去也:妥协意味着芝芝接下来的两年在这个学校无法立足，所有人会认为她理亏，甚至把,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"嚯，挺好您就烂里边呗，声明是学校发的，没有合理解决也是学校，被骂被喷不冤//@寻找1994的你:现在不管说什么，都会有阴谋论者出来指责。 造谣成本太低， 煽风点火者想看的是自己臆想的真相，甚至并不关心真相，事件只是他们发泄不满的途径罢了。 重申:太原师范学院很好，没诸位口中那么不堪。,分享图片 晋中·太原师范学院 ?"
"还不敢开评论呐？看来你们的官博不用运营了#太原师范回应 未发生暴力行为# #不要报考太原师范学院# #太原师范校园暴力#,分享图片 晋中·太原师范学院 ?"
"我一直认为法律的学习，会让人思维严密，做事严谨，可我没想到韩东言这种所谓的微博大v，做出的事，真是让人不齿，利用学生需要顾及的比较多，四处挂人威胁，可笑的是，他竟然是法律博主，对于太原师范学院这件事，到目前为止，没有比较严正的官方结果，他将所谓的过错行为的实施者挂在网上，任何为太 ?  展开全文,我一直认为法律的学习，会让人思维严密，做事严谨，可我没想到韩东言这种所谓的微博大v，做出的事，真是让人不齿，利用学生需要顾及的比较多，四处挂人威胁，可笑的是，他竟然是法律博主，对于太原师范学院这件事，到目前为止，没有比较严正的官方结果，他将所谓的过错行为的实施者挂在网上，任何为太原师范说话的也挂在网上，难道不允许学生为自己的母校讲话？你竟然还会刻意攻击他人带节奏。还有，现在所有的人一棒子打死太原师范？你们看看你们那样子，跟当时黑河南和东北人一样的嘴脸。都是今日头条作者，建议去看看杨文战律师的发言，专业律师也推荐张起准律师，韩东言之类的，还是算了 收起全文"
"就之前不是发生了太原师范学院的校园暴力事件吗  我去看了一下暴力者被曝光的微博  有一条微博是她发了自拍  结果大家都在用脏话骂她丑  还问候了她的家属  虽然我也很想骂她  但我觉得我要是骂太脏的话  我也变成了语言暴力的一员  于是我很委婉的在她那条自拍微博下留言“你看这脸  它又大又圆”  我 ?  展开全文,就之前不是发生了太原师范学院的校园暴力事件吗  我去看了一下暴力者被曝光的微博  有一条微博是她发了自拍  结果大家都在用脏话骂她丑  还问候了她的家属  虽然我也很想骂她  但我觉得我要是骂太脏的话  我也变成了语言暴力的一员  于是我很委婉的在她那条自拍微博下留言“你看这脸  它又大又圆”  我还为自己的小聪明感到自豪来着  结果过了一会儿  有个人回我“别带我家吴亦凡我谢谢您嘞  你妈死了”  我？？？？？？？ 收起全文"
"//@琳娜廚 ://@放开那个RDJ ://@吸本罐头 :不处理真是当大家傻子//@盖锤 ://@女神请保佑我顺利 ://@Theo的傻大个 ://@刺客棉条 :“如何防止此类事件被爆出”//:免费水军算盘打得不错//:#李梓瑶# #太原师范学院# 只能尽我自己的力量帮你们多宣传宣传，看你今年能招几个,#李梓瑶#这事真气人 ?"
"违法行为是她道歉就可以原谅解决的？#太原师范回应 未发生暴力行为# #我是春虫虫哈哈哈# @太原师范学院- @山西校园事儿 @共青团中央 @山西公安,拍人隐私犯法 #太原师范学院##太原师范回应 未发生暴力行为##太原師範學院校園暴力# @太原校园 @中国警方在线 @扒圈新闻 @新浪视频 @共青团中央 ?"
@太原师范学院- 今天骂你的人应该少了吧，能回我私信了?? ?
"@王芝芝会有狗的 正义终会来到@太原师范学院- 希望可以得到最终的正式答复！还有各大网友不要网络暴力到无辜人身上！你们这样随意撒泼，辱骂导员，不也是施暴者吗？？你们就和李、赵有什么区别？,【太原师范学院事件：有些罪恶，不可原谅】太原师范学院的校园暴力就注定要不了了之了...学校的现状，先试着捂住，往下拖，等网络热度退了，再解决当事人！如果是我们自己的女儿遭受这种不可饶恕的恶，我们会因为学校的名誉顾全大局吗？我们不可助长这样的大学，这样的大学怎么可能做好教育？ ?"
@太原师范学院-  还没倒闭么？听说淘宝花圈都不配送太师了 ?
#太原师范回应 未发生暴力行为#论包庇校园暴力，太原师范学院当属第一 ?
#太原师范回应 未发生暴力行为#太原师范学院，一个包庇校园暴力的“高校” ?
#太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为##太原师范学院##正义网友与太原师范王芝芝通话录音##太师校园暴力#没有消息的又一天 ?
#太原师范#怎么参加扫黑@共青团中央 @检察日报 @太原师范学院- @我是春虫虫哈哈 赣州·隐龙山庄 ?
#距离高考仅剩4天#@太原师范学院- ?
#不要报考太原师范学院#请大家关注#向校园欺凌说不# 不要让热搜下来，一定要看到处理结果，而不是不了了之 ?
"//@放开那个RDJ://@吸本罐头:不处理真是当大家傻子//@盖锤://@女神请保佑我顺利://@Theo的傻大个://@刺客棉条:“如何防止此类事件被爆出”//:免费水军算盘打得不错//:#李梓瑶#  #太原师范学院#  这个学院等着凉凉吧，做不了啥，只能尽我自己的力量帮你们多宣传宣传，看你今年能招几个,#李梓瑶#这事真气人 ?"
#不要报考太原师范学院##太原师范学院校园暴力#  这几天又认真的在想，如果发生在我们学校，我会不会护校，流言蜚语满天飞，我会不会就信了学校，应该不会信，芝芝的话肯定是真情实感的我会信她 ?
补发上次社团活动月忻州师范学院美术协会与书法协会共同承办的书画展。文弱。///忻州师范学院团委 ////忻州师范学院新月书画社 ////忻师青年 ////忻州师院美术系微博 ////忻州师范学院团委 ////太原理工大学学生会 ////忻州师范学院学生会 ////忻州师范学院学生会社团联合会 忻州 · 长征街街区 ?
我实在没时间跟这个事了，过正常生活开始！#校园霸凌##正义网友与太原师范王芝芝通话录音##太原师范学院##太原师范学院回应 未发生暴力行为##2019年高考注意事项# ?
@瑶瑶最爱社会摇@我是春虫虫哈哈均为营销号，我是李梓瑶朋友，之前从未见过这两个帐号，请大家不要被误导了。#太原师范学院##太原师范回应 未发生暴力行为# ?
#太原师范学院#远离垃圾学校。#高考志愿##高考加油##高考倒计时10天# ?
"//@寻找1994的你:现在不管说什么，都会有阴谋论者出来指责。 造谣成本太低， 煽风点火者想看的是自己臆想的真相，甚至并不关心真相，事件只是他们发泄不满的途径罢了。 重申:太原师范学院很好，没诸位口中那么不堪。,分享图片 晋中·太原师范学院 ?"
"如果你够狠那就去“太原师范学院”。因为在那里扇人耳光子，就叫闹着玩儿。,抱歉，此微博已被作者删除。查看帮助：网页链接"
"新京报没兴趣对太原师范学院的事件进行报到吗？热搜都挂了两三天了呦万谚琰封坤弘齐巩,【#巴掌宝宝出院# 曾千万人牵挂直播转院救护】5月30日，曾被无数人牵挂的800克早产女婴小清媱出院。2018年12月，小清媱因肺部感染被紧急从河南转送至北京治疗。经过168天治疗，小清媱已脱离危险并能离开PICU生存。后续她将定期复查。#新京报直播#，一起送小清媱出院。  新京报的微博直播 . ?"
"@太原师范学院-,#太原师范回应 未发生暴力行为# 【最新进展】@王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。 目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知乎提问。 图⑤  “本宿舍群”上传的“小打小闹” 视频照片图⑥—⑨  5月29日芝芝发微博求助的前一 ?  展开全文,#太原师范回应 未发生暴力行为# 【最新进展】@王芝芝会有狗的 的抑郁证明于昨晚被老师拿走。 目前芝芝父母已到达学校，要求李梓瑶 赵湘两人公开道歉。【事件补充】图④  4个月前芝芝在知乎提问"
"热度不能降/@橘里橘气的栗子:#正义网友与太原师范王芝芝通话录音# #太原师范学院# #太原师范回应 未发生暴力行为#,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺 ?  展开全文,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺利毕业。不知道学校做出了哪些让步和承诺……3、芝芝坚持依法维权，进行诉讼。律师没明说，现在只有芝芝坚持需要律师，而家长想接受学校的条件，不需要律师了。这件事是离不开律师的法律维权的，家长特别容易被忽悠。4、现在一些护校蛆开始变本加厉，各种造谣生事了。表现出人性之恶，有些女大学生出口成脏，令人震惊之余，怀疑这所学校到底怎么了？5、这几天在网上支持芝芝，就是为了反对校园欺凌，就是为了社会的公平正义，我就是不能容忍施暴者趾高气扬，受辱者忍气吞声，这不是我们这个时代的正义，这是蒙羞。#太原师范回应 未发生暴力行为##太原师范回应女生遭校园暴力##起侮辱性绰号也属于欺凌##太原师范回应女生遭校园暴力# 收起全文"
"//@吸本罐头:不处理真是当大家傻子//@盖锤://@女神请保佑我顺利://@Theo的傻大个://@刺客棉条:“如何防止此类事件被爆出”//@·昆仑君·:免费水军算盘打得不错//@秦桑槡颡:#李梓瑶#  #太原师范学院#  这个学院等着凉凉吧，做不了啥，只能尽我自己的力量帮你们多宣传宣传，看你今年能招几个,#李梓瑶#这事真气人 ?"
#太原师范回应 未发生暴力行为# 日常关注@太原师范学院- @人民日报 ?
"就在刚刚我看完了之前太原师范学院的校园暴力事件的 也看了当事人朋友的微博 真的有种讲不出来话的感觉 我身边也有不少朋友或多或少或大或小的也曾经历过校园欺凌 受害者的他们让我觉得很是心痛 我从来不知道一个十几岁的人能做出这样的事情 中国的义务教育是如何教育出这样的人 我心疼这次事件的受害 ?  展开全文,就在刚刚我看完了之前太原师范学院的校园暴力事件的 也看了当事人朋友的微博 真的有种讲不出来话的感觉 我身边也有不少朋友或多或少或大或小的也曾经历过校园欺凌 受害者的他们让我觉得很是心痛 我从来不知道一个十几岁的人能做出这样的事情 中国的义务教育是如何教育出这样的人 我心疼这次事件的受害者 希望她们可以坚强起来 然后走出这件不美好的事情 在以后的生活中还是可以做到相信生活并且热爱生活 收起全文"
"太原师范学院一直绯闻不断，在社会上造成了极其恶劣的影响。最先是学生家长实名举报学院有一张姓教师旷课达两年之多，不给学生上课，荒废了学生的大好时光。接着家长又实名举报，该校不发这些学生的毕业证。一波未平，一波又起，前几天又有同舍女生曝光宿舍内发生长达两年的校园暴力。面对社会上的 ?  展开全文,太原师范学院一直绯闻不断，在社会上造成了极其恶劣的影响。最先是学生家长实名举报学院有一张姓教师旷课达两年之多，不给学生上课，荒废了学生的大好时光。接着家长又实名举报，该校不发这些学生的毕业证。一波未平，一波又起，前几天又有同舍女生曝光宿舍内发生长达两年的校园暴力。面对社会上的各种置疑，太师师范一直置之不理。至少，大众没有在任何媒体上看到有关对受害学生的道歉。对无故旷课的老师也没有作任何处理。我决对不相信太原师范的回应！我相信家长、学生举报的行为一定确有其事。理由如下:①没有哪个家长愿意无事生非的去污告老师旷课，去得罪老师和学校。得罪了学校有什么好处？这不是不发毕业证吗？②受宿舍室友欺凌的女生应是个内向、胆怯的女孩，如果她勇敢果断，怎么会有人欺负她？她长时间受人欺负，忍无可忍，才曝光室友恶行。但是，几天后，情况突然发生了逆变。受疟女生发出声明，别人没有欺负她。只是室友间的开玩笑。我相信，这个受欺负的女生一定受人指使，又是受""开除学藉”、""不发毕业证""等威胁，才不得不改口。太原师范是个培养人类灵魂工程师的圣地。教师应该为人师表。可是，这两年来，学校发生的这些事，太让人失望。希望学院能调查清楚，还公众以真相。另外，学院里的辅导员素质太差，这些辅导员有教师资格证吗？若没有，他们是凭什么进入学院的？你们要彻底清查，不能让那个旷课的、威胁学生的人继续呆在学校里，把一个好好的师范学院扰得乱七八糟！那些有校园暴力的恶霸必须严惩！ 太原师范回应未发生暴力行为,你信吗？如何看待其前后不一的说辞？ 收起全文"
太原师范学院被欺凌者道歉社会瑶上了热门还在微博里各种不怂真你*的?? 2太原 ????
"//@看一眼理塘就返回:#太原师范回应 未发生暴力行为# #赵湘# #李梓瑶# #高考# #太原师范学院# #不要报考太原师范学院# #太原师范校园暴力# #正义网友与太原师范王芝芝通话录音# 恶人的猖狂是因为好人的放纵,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"这是什么狗东西#太原师范学院#,【#太原师范学院#大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝 ?  展开全文,【#太原师范学院#大二女生长期遭室友恐吓侮辱 被外传裸露视频致重度抑郁】5月29日,太原师范学院大二学生芝芝@王芝芝会有狗的 自述长期遭受来自室友李某的“校园暴力”。 期间李某不仅给芝芝起“潘金莲”侮辱性外号,公开扬言要对芝芝行为暴力; 还经常以玩闹形式对其进行身体上的攻击,多次胁迫扒芝芝衣服并录制视频,甚至将偷拍裸露照片和视频上传至多人群聊，其行为已导致芝芝患重度抑郁。@太原校园 收起全文"
#太原师范学院#请贵校领导放心，今后的每一年招生季都会有人提醒广大考生太原师范学院在2019年校园暴力事件中不积极解决问题反而威胁受害者，控制受害者人身自由致使外界联系不到受害者。我想是个正常的考生都不会选择你们学校了，毕竟大家上学都不是为了豁出性命的。 ?
